Year,natural_gas,electricity,fuel_oil,propane,thermal_cooling,thermal_heating
2024,0.000199,0.000269,0.000278,0.000232,0,0
2025,0.000199,0.000269,0.000278,0.000232,0,0
2026,0.000199,0.00024604,0.000278,0.000232,0,0
2027,0.000199,0.00022308,0.000278,0.000232,0,0
2028,0.000199,0.00020012,0.000278,0.000232,0,0
2029,0.000199,0.00017716,0.000278,0.000232,0,0
2030,0.000199,0.0001542,0.000278,0.000232,0,0
2031,0.000199,0.00014822,0.000278,0.000232,0,0
2032,0.000199,0.00014224,0.000278,0.000232,0,0
2033,0.000199,0.00013626,0.000278,0.000232,0,0
2034,0.000199,0.00013028,0.000278,0.000232,0,0
2035,0.000199,0.0001243,0.000278,0.000232,0,0
2036,0.000199,0.00009944,0.000278,0.000232,0,0
2037,0.000199,0.00007458,0.000278,0.000232,0,0
2038,0.000199,0.00004972,0.000278,0.000232,0,0
2039,0.000199,0.00002486,0.000278,0.000232,0,0
2040,0.000199,0,0.000278,0.000232,0,0
2041,0.000199,0,0.000278,0.000232,0,0
2042,0.000199,0,0.000278,0.000232,0,0
2043,0.000199,0,0.000278,0.000232,0,0
2044,0.000199,0,0.000278,0.000232,0,0
2045,0.000199,0,0.000278,0.000232,0,0
2046,0.000199,0,0.000278,0.000232,0,0
2047,0.000199,0,0.000278,0.000232,0,0
2048,0.000199,0,0.000278,0.000232,0,0
2049,0.000199,0,0.000278,0.000232,0,0
2050,0.000199,0,0.000278,0.000232,0,0