building_id,HVAC,DOMESTIC_HOT_WATER,CLOTHES_DRYER,STOVE,TOTAL
F_350329_2902061,16369.79,2315.28,2497.40,1507.65,22690.12
F_350331_2902122,16369.79,2315.28,2497.40,1507.65,22690.12
F_350330_2902182,18017.13,2315.28,2497.40,1507.65,24337.45
F_350331_2902242,16986.77,2315.28,2497.40,1507.65,23307.09
F_350332_2902301,19698.24,2315.28,2497.40,1507.65,26018.57
F_350333_2902360,17932.21,2315.28,2497.40,1507.65,24252.53
F_350334_2902417,17932.21,2315.28,2497.40,1507.65,24252.53
F_350335_2902479,16427.31,2315.28,2497.40,1507.65,22747.64
F_350460_2902490,16369.79,2315.28,2757.00,1767.25,23209.32
F_350459_2902427,16369.79,2574.88,2757.00,1767.25,23468.92
F_350459_2902366,20048.82,2315.28,2497.40,1507.65,26369.14
F_350459_2902307,18664.44,2574.88,2757.00,1767.25,25763.56
F_350459_2902248,17447.47,2315.28,2497.40,1507.65,23767.79
F_350458_2902189,18345.27,2315.28,2497.40,1507.65,24665.60
F_350458_2902131,16369.79,2315.28,2757.00,1767.25,23209.32
F_350457_2902072,17667.25,2574.88,2757.00,1767.25,24766.37
F_353059_2906776,25161.95,2704.68,2497.40,1507.65,31871.68
F_353062_2906646,37915.59,4630.55,2497.40,3015.30,48058.84
F_353064_2906586,36286.54,4630.55,2497.40,3015.30,46429.79
F_353079_2906099,37131.81,4630.55,2497.40,3015.30,47275.06
F_353079_2906053,34393.07,4630.55,2497.40,3015.30,44536.32
F_353081_2906005,37022.66,4630.55,2497.40,3015.30,47165.91
F_353083_2905948,33759.63,5149.75,2497.40,3534.50,44941.28
F_353084_2905882,37709.37,5149.75,2497.40,3534.50,48891.02
F_353065_2906524,33406.11,4630.55,2757.00,3015.30,43808.96
F_353068_2906466,36949.70,4630.55,2497.40,3015.30,47092.95
F_353070_2906407,34953.36,4241.15,2497.40,3015.30,44707.21
F_353071_2906351,20195.06,2574.88,2497.40,1767.25,27034.59
F_353072_2906301,20727.03,2704.68,2497.40,1507.65,27436.75
F_353075_2906250,39367.96,4500.75,2757.00,3534.50,50160.21
F_353076_2906202,20727.03,2315.28,2497.40,1507.65,27047.35
F_353076_2906153,19274.69,2315.28,2757.00,1767.25,26114.22
F_352896_2905980,23881.36,3872.88,2757.00,1767.25,32278.48
F_352899_2905925,48183.80,6426.63,5514.00,5301.75,65426.18
F_352933_2905872,18369.21,2574.88,2497.40,1767.25,25208.74
F_352934_2905821,19535.15,2704.68,2497.40,1507.65,26244.88
F_352880_2906576,43338.27,4241.15,2497.40,3534.50,53611.32
F_352880_2906499,21156.97,3223.88,2757.00,1507.65,28645.49
F_352882_2906423,31407.89,4630.55,2497.40,3015.30,41551.14
F_352885_2906357,42305.54,5149.75,2757.00,3015.30,53227.59
F_352887_2906287,32904.82,4630.55,2497.40,3015.30,43048.07
F_352890_2906228,34534.00,5019.95,2497.40,3015.30,45066.65
F_352890_2906177,42719.04,6556.43,4994.80,4522.95,58793.21
F_352893_2906128,36130.06,4630.55,2497.40,3015.30,46273.31
F_352894_2906076,38086.00,5149.75,2497.40,3534.50,49267.65
F_352862_2906837,47209.10,4630.55,2497.40,3015.30,57352.35
F_352872_2906754,38396.45,4500.75,2757.00,3015.30,48669.50
F_352875_2906695,22611.00,3223.88,2497.40,1767.25,30099.52
F_352876_2906637,32604.97,3851.75,2497.40,3015.30,41969.42