gisid,parentid,inst_date,diameter,pressure,length_ft,material,LOC_ID,lifetime,inst_cost,replacement_cost
GS216,GM201,1/1/00,2,LP,20,PL-A,F_753409_2716987,40,10,6500
GS228,GM201,1/1/00,2,LP,20,PL-A,F_753421_2717033,40,10,6500
GS234,GM201,1/1/00,2,LP,20,PL-A,F_753432_2717080,40,10,6500
GS235,GM201,1/1/00,2,LP,20,PL-A,F_753569_2717047,40,10,6500
GS254,GM201,1/1/00,2,LP,20,PL,F_753474_2717148,40,10,6500
GS273,GM201,1/1/00,2,LP,20,PL,F_753588_2717245,40,10,6500
GS274,GM201,1/1/00,2,LP,20,PL,F_753480_2717271,40,10,6500
GS287,GM201,1/1/80,2,LP,20,BS,F_753629_2717285,40,10,6500
GS288,GM201,1/1/80,2,LP,20,BS,F_753492_2717319,40,10,6500
GS292,GM201,1/1/80,2,LP,20,BS,F_753504_2717366,40,10,6500
GS302,GM201,1/1/80,2,LP,20,BS,F_753515_2717411,40,10,6500
GS303,GM201,1/1/80,2,LP,20,BS,F_753646_2717355,40,10,6500
GS315,GM201,1/1/80,2,LP,20,BS,F_753663_2717423,40,10,6500
GS312,GM201,1/1/80,2,LP,20,BS,F_753526_2717454,40,10,6500
GS875,GM201,1/1/80,2,LP,20,BS,F_753674_2717470,40,10,6500
GS245,GM201,1/1/80,2,LP,20,BS,F_753581_2717093,40,10,6500